cnpj;razao_social;nome_fantasia;data_abertura;tempo_de_mercado_anos;situacao_cadastral;natureza_juridica;matriz_filial;cnae_principal;cnaes_secundarios;rossi;endereco;bairro;municipio;uf;telefone_1;telefone_2;email;capital_social;porte;Faturamento Anual;opcaoSimples;opcaoMei;socios;outrosTelefones;outrosEmails
76708718000107;ASSOCIACAO FRANCISCANA DE EDUCACAO AO CIDADAO ESPECIAL;;31/08/1970;54;Ativa;Associação Privada;Matriz;8550302 - Atividades de apoio à educação, exceto caixas escolares;8512100 - Educação infantil - préescola|8513900 - Ensino fundamental|8630503 - Atividade médica ambulatorial restrita a consultas|8630504 - Atividade odontológica|8650002 - Atividades de profissionais da nutrição|8650003 - Atividades de psicologia e psicanálise|8650004 - Atividades de fisioterapia|8650005 - Atividades de terapia ocupacional|8650006 - Atividades de fonoaudiologia|8800600 - Serviços de assistência social sem alojamento;82821030;Rua Paulo Turkiewicz, 316;Taruma;Curitiba;PR;41 33665212;;direcao@afece.org.br;0;Demais;acima de R$4.800.000;Não;Não;Carlos Manuel Da Silva Branco;41 33665212;
75055772000120;UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MEDICOS;;10/01/1972;52;Ativa;Cooperativa;Matriz;6550200 - Planos de saúde;5211799 - Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda móveis|7119704 - Serviços de perícia técnica relacionados à segurança do trabalho|7490199 - Outras atividades profissionais, científicas e técnicas não especificadas anteriormente|8211300 - Serviços combinados de escritório e apoio administrativo|8230001 - Serviços de organização de feiras, congressos, exposições e festas|8599604 - Treinamento em desenvolvimento profissional e gerencial|8610101 - Atividades de atendimento hospitalar, exceto pronto socorro e unidades para atendimento a urgências|8610102 - Atividades de atendimento em pronto socorro e unidades hospitalares para atendimento a urgências|8630502 - Atividade médica ambulatorial com recursos para realização de exames complementares|8630503 - Atividade médica ambulatorial restrita a consultas|8640202 - Laboratórios clínicos|8640203 - Serviços de diálise e nefrologia|8640205 - Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia|8640208 - Serviços de diagnóstico por registro gráfico - ecg, eeg e outros exames análogos|8640299 - Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente|8650001 - Atividades de enfermagem|8650002 - Atividades de profissionais da nutrição|8650003 - Atividades de psicologia e psicanálise|8650004 - Atividades de fisioterapia|8650005 - Atividades de terapia ocupacional|8650006 - Atividades de fonoaudiologia|8660700 - Atividades de apoio à gestão de saúde|8690999 - Outras atividades de atenção à saúde humana não especificadas anteriormente|8712300 - Atividades de fornecimento de infraestrutura de apoio e assistência a paciente no domicílio|9313100 - Atividades de condicionamento físico;82530280;Avenida Affonso Penna, 297;Taruma;Curitiba;PR;41 30192000;;curitiba@unimedcuritiba.com.br;0;Demais;acima de R$4.800.000;Não;Não;Rached Hajar Traya|Yugo William Sakamoto|Antonio Carlos De Farias|Wanderley Silva|Mario Massatomo Namba|Marlus Volney De Morais;41 991632874,41 992614571,41 992525067,41 992448162,41 992555934,41 996651008,41 992746033,41 996449734,41 996650347,41 991198405,41 991864055,41 991991517,41 992264688,41 992255758,41 992151822,41 991766224,41 991127177,41 991338321,41 991458874,41 991482779,41 30192000;bodziak@unimedcuritiba.com.br,compras@unimedcuritiba.com.br,unimedcuritiba@unimedcuritiba.com.br,marketing@unimedcuritiba.com.br,comercial@unimedcuritiba.com.br
77186195000130;ASSOCIACAO PARANAENSE DE ASSISTENCIA AO PARAPLEGICO;APAP;16/09/1976;48;Ativa;Associação Privada;Matriz;9499500 - Atividades associativas não especificadas anteriormente;3299099 - Fabricação de produtos diversos não especificados anteriormente|4785799 - Comércio varejista de outros artigos usados|4789001 - Comércio varejista de suvenires, bijuterias e artesanatos|8630503 - Atividade médica ambulatorial restrita a consultas|8650004 - Atividades de fisioterapia|8800600 - Serviços de assistência social sem alojamento;80040180;Rua Camoes, 1996;Hugo Lange;Curitiba;PR;;;;0;Demais;acima de R$4.800.000;Não;Não;Isabel Cristina Sachs;;
78174448000119;ASSOCIACAO DO DEFICIENTE MOTOR;;09/10/1979;45;Ativa;Associação Privada;Matriz;8800600 - Serviços de assistência social sem alojamento;4781400 - Comércio varejista de artigos do vestuário e acessórios|8513900 - Ensino fundamental|8630503 - Atividade médica ambulatorial restrita a consultas|8650004 - Atividades de fisioterapia|8650005 - Atividades de terapia ocupacional|8711503 - Atividades de assistência a deficientes físicos, imunodeprimidos e convalescentes|9430800 - Atividades de associações de defesa de direitos sociais;80530050;Rua Barao De Antonina, 325;Sao Francisco;Curitiba;PR;;;;0;Demais;acima de R$4.800.000;Não;Não;Ivonete Wandembruck;;
76717040000978;PARANA CLINICAS - PLANOS DE SAUDE S.A.;CENTRO MEDICO HOSPITALAR CIDADE INDUSTRIAL;11/11/1980;44;Ativa;Sociedade Anônima Fechada;Filial;6550200 - Planos de saúde;8610102 - Atividades de atendimento em pronto socorro e unidades hospitalares para atendimento a urgências|8630502 - Atividade médica ambulatorial com recursos para realização de exames complementares|8630503 - Atividade médica ambulatorial restrita a consultas|8630599 - Atividades de atenção ambulatorial não especificadas anteriormente|8640202 - Laboratórios clínicos|8640205 - Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia|8640207 - Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética|8640208 - Serviços de diagnóstico por registro gráfico - ecg, eeg e outros exames análogos|8650001 - Atividades de enfermagem|8650002 - Atividades de profissionais da nutrição|8650003 - Atividades de psicologia e psicanálise|8650004 - Atividades de fisioterapia|8650006 - Atividades de fonoaudiologia|8660700 - Atividades de apoio à gestão de saúde;81170150;Rua Manoel Valdomiro De Macedo, 2851;Cidade Industrial;Curitiba;PR;41 33403023;;contabilidade@paranaclinicas.com.br;210726896;Demais;acima de R$4.800.000;Não;Não;Gustavo Kohn Giometti|Heitor Augusto Pereira Barbosa|Juliano Kiguchi Tomazela|Solange Zaquem Thompson Motta|Tereza Villas Boas Veloso|Simone Cesena Duarte|Raquel Dourado Imbassahy Conrad|Raquel Reis Correa|Otavio De Garcia Lazcano|Leonardo Fraga Pacheco|Jefferson Klock|Jonas Berbert Pulcheri|Rafael Pinto Froes|Glaucia Maria Ribeiro De Carvalho|Thiago De Carvalho Gomes|Humberto Giraldo;41 33403023;
76659820000313;ASSOCIACAO PARANAENSE DE CULTURA - APC;PUC PR CAMPUS CURITIBA;16/07/1980;44;Ativa;Associação Privada;Filial;8532500 - Educação superior - graduação e pós graduação;5912099 - Atividades de pós produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente|7210000 - Pesquisa e desenvolvimento experimental em ciências físicas e naturais|7220700 - Pesquisa e desenvolvimento experimental em ciências sociais e humanas|8511200 - Educação infantil - creche|8512100 - Educação infantil - préescola|8531700 - Educação superior - graduação|8533300 - Educação superior - pós graduação e extensão|8541400 - Educação profissional de nível técnico|8630504 - Atividade odontológica|8640202 - Laboratórios clínicos|8640214 - Serviços de bancos de células e tecidos humanos|8650003 - Atividades de psicologia e psicanálise|8650004 - Atividades de fisioterapia|8800600 - Serviços de assistência social sem alojamento|9001999 - Artes cênicas, espetáculos e atividades complementares não especificadas anteriormente|9003500 - Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas;80215901;Rua Imaculada Conceicao, 1155, Terreo;Prado Velho;Curitiba;PR;41 32711515;;setorfiscal@grupomarista.org.br;0;Demais;acima de R$4.800.000;Não;Não;Delcio Afonso Balestrin|Vanderlei Siqueira Dos Santos;41 32711515;
78791712000163;CENTRO DE ESTUDOS SUPERIORES POSITIVO LTDA;;28/06/1985;39;Ativa;Sociedade Empresária Limitada;Matriz;6463800 - Outras sociedades de participação, exceto holdings;4781400 - Comércio varejista de artigos do vestuário e acessórios|6201501 - Desenvolvimento de programas de computador sob encomenda|6203100 - Desenvolvimento e licenciamento de programas de computador não customizáveis|7490104 - Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários|7500100 - Atividades veterinárias|7739003 - Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes|8211300 - Serviços combinados de escritório e apoio administrativo|8230001 - Serviços de organização de feiras, congressos, exposições e festas|8531700 - Educação superior - graduação|8541400 - Educação profissional de nível técnico|8542200 - Educação profissional de nível tecnológico|8550302 - Atividades de apoio à educação, exceto caixas escolares|8593700 - Ensino de idiomas|8599604 - Treinamento em desenvolvimento profissional e gerencial|8630503 - Atividade médica ambulatorial restrita a consultas|8630504 - Atividade odontológica|8640202 - Laboratórios clínicos|8640204 - Serviços de tomografia|8640205 - Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia|8650002 - Atividades de profissionais da nutrição|8650003 - Atividades de psicologia e psicanálise|8650004 - Atividades de fisioterapia|8720401 - Atividades de centros de assistência psicossocial|9001901 - Produção teatral|9003500 - Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas|9313100 - Atividades de condicionamento físico|9602502 - Atividades de estética e outros serviços de cuidados com a beleza;81280330;Rua Professor Pedro Viriato Parigot De Souza, 5300, Conj Reit Andar Tr;Cidade Industrial;Curitiba;PR;11 21781211;;fiscal.grupocruzeiro@cruzeirodosul.edu.br;108626392;Demais;acima de R$4.800.000;Não;Não;Secid - Sociedade Educacional Cidade De Sao Paulo S.A.|Cruzeiro Do Sul Educacional S.A.|Fabio Marcel Fossen|Luis Felipe Silva Bresaola|Felipe Coragem Negrao;11 21781211;
81911125000175;FISICLIN CLINICA DE SAUDE S/S;FISICLIN CLINICA DE SAUDE;22/05/1990;34;Ativa;Sociedade Simples Pura;Matriz;8650004 - Atividades de fisioterapia;;80250110;Rua Mauricio Caillet, 50;Agua Verde;Curitiba;PR;41 33241759;;contato@fisiclin.com.br;8000;Demais;acima de R$4.800.000;Não;Não;Sergio Alexandre Costa Artin|Johanna Bomfim Propst Navas;41 33241759;
68571934000117;SERVICO SOCIAL DO SINDICATO DA INDUSTRIA DA CONSTRUCAO CIVIL NO ESTADO DO PARANA-SECONCI/PR;SECONCI PR;10/07/1992;32;Ativa;Associação Privada;Matriz;8630503 - Atividade médica ambulatorial restrita a consultas;8630504 - Atividade odontológica|8640208 - Serviços de diagnóstico por registro gráfico - ecg, eeg e outros exames análogos|8640299 - Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente|8650004 - Atividades de fisioterapia;80220270;Rua Joao Viana Seiler, 116;Parolim;Curitiba;PR;41 3332033;;;0;Demais;acima de R$4.800.000;Não;Não;Carlos Augusto Emery Cade;41 3332033;
40385239000141;CLINICA DE RECUPERACAO SANT'ANNA LTDA;CLINI SAN;10/02/1992;32;Ativa;Sociedade Simples Limitada;Matriz;8630503 - Atividade médica ambulatorial restrita a consultas;8630504 - Atividade odontológica|8650002 - Atividades de profissionais da nutrição|8650003 - Atividades de psicologia e psicanálise|8650004 - Atividades de fisioterapia|8650006 - Atividades de fonoaudiologia;80250190;Avenida Iguacu, 1676;Agua  Verde;Curitiba;PR;41 30823300;;clinisan@yahoo.com.br;10200;Demais;acima de R$4.800.000;Sim;Não;Vera Lucia Rocha Sant Anna|Anderson Clayton Sant Anna|Ana Lucia Sant Anna Carvalho;41 30823300;
